problem name,FC solutions,FC time,FC nodes,FC revisions,MAC3 solutions,MAC3 time,MAC3 nodes,MAC3 revisions
problems/L2_10.csp,0.0,11191.7,583877.0,4307456.0,0.0,21328.2,95825.0,7048417.0
problems/L2_3.csp,1.0,1.7,7.0,51.0,1.0,1.3,6.0,97.0
problems/L2_4.csp,1.0,1.3,9.0,94.0,1.0,1.4,8.0,226.0
problems/L2_5.csp,0.0,1.7,156.0,941.0,0.0,3.9,39.0,2246.0
problems/L2_6.csp,0.0,8.0,652.0,4110.0,0.0,20.2,150.0,9005.0
problems/L2_7.csp,1.0,1.8,29.0,383.0,1.0,4.6,15.0,1180.0
problems/L2_8.csp,1.0,6.2,155.0,1400.0,1.0,15.9,62.0,3896.0
problems/L2_9.csp,0.0,1508.1,93303.0,661659.0,0.0,3133.3,16691.0,1177425.0
problems/L3_10.csp,1.0,2945.1,19014.0,305883.0,1.0,6383.4,1445.0,425597.0
problems/L3_4.csp,0.0,0.8,19.0,296.0,0.0,1.9,1.0,810.0
problems/L3_5.csp,0.0,4.7,91.0,1007.0,0.0,12.8,12.0,3057.0
problems/L3_6.csp,0.0,30.5,348.0,3820.0,0.0,122.6,46.0,10117.0
problems/L3_7.csp,0.0,170.2,1253.0,15252.0,0.0,514.4,142.0,36667.0
problems/L3_8.csp,0.0,1068.1,5862.0,75092.0,0.0,2013.8,577.0,139273.0
problems/L3_9.csp,1.0,1144.7,5163.0,74163.0,1.0,1935.1,468.0,122661.0
