problem name,FC solutions,FC time,FC nodes,FC revisions,MAC3 solutions,MAC3 time,MAC3 nodes,MAC3 revisions
problems/4Queens.csp,1,0,8,30,1,0.1,5,36
problems/5Queens.csp,1,0,5,30,1,0.1,5,51
problems/6Queens.csp,1,0.3,26,126,1,0.3,9,178
problems/7Queens.csp,1,0.1,7,63,1,0.3,8,144
problems/8Queens.csp,1,0.7,71,373,1,1,18,604
problems/9Queens.csp,1,0.5,24,184,1,0.9,12,376
problems/10Queens.csp,1,11.2,32,254,1,5.3,13,550
problems/11Queens.csp,1,1.9,58,434,1,3.8,24,1034
problems/12Queens.csp,1,2.7,144,996,1,5.5,41,2011
problems/13Queens.csp,1,4,192,1346,1,8.2,55,2863
problems/14Queens.csp,1,4.1,121,1002,1,7.7,34,2189
problems/15Queens.csp,1,2.1,32,403,1,5.7,16,1268
problems/16Queens.csp,1,3.9,43,527,1,9.4,20,1688
problems/17Queens.csp,1,6.5,58,679,1,14.4,23,2259
problems/18Queens.csp,1,6.7,51,714,1,24.2,26,2640
problems/19Queens.csp,1,8.1,52,729,1,26.1,22,2641
problems/20Queens.csp,1,13.5,142,1479,1,45.1,45,4457
problems/21Queens.csp,1,11.3,40,741,1,47.8,24,3295
problems/22Queens.csp,1,12.1,24,710,1,55.3,24,3597
problems/23Queens.csp,1,16.2,61,1064,1,74.5,31,4571
problems/24Queens.csp,1,17.7,43,933,1,86.8,28,4824
problems/25Queens.csp,1,42.4,269,2693,1,149.9,79,9321
problems/26Queens.csp,1,47,267,2849,1,189.3,74,10068
problems/27Queens.csp,1,30.9,62,1275,1,166.6,35,7214
problems/28Queens.csp,1,34,28,1134,1,216.8,28,7295
problems/29Queens.csp,1,38.7,36,1259,1,255.5,29,8087
problems/30Queens.csp,1,62.2,144,2187,1,349.2,48,10755
